Category,Description,Qty,Notes
Fasteners,M5x40 SHCS,25,
,M5x30 BHCS,22,
,M3x30 SHCS,32,
,M5x10 BHCS,35,
,M5x16 BHCS,31,
,M5 Hexnut,26,
,M5 T-nut HNTAJ5-5,61,
,M3 T-nut HNTAJ5-3,112,
,M3 Threaded Insert,90,
,M3x12 SHCS,14,
,M5 1mm Spacer,42,
,M2x8 Self-tapping Screw,16,
,M3x40 SHCS,28,
,M3 Washer,2,
,M3x20 SHCS,25,
,M3x16 SHCS,20,
,M3x8 SHCS,209,
,M3 Hexnut,7,
,M4 Knurled Nut (DIN 466-B),4,
,M3 Hammer Head T-nuts,47,
,M4x6 BHCS,6,
,M3x6 BHCS,12,
Motion,GT2 20T Pulley (5mm ID 6mm W),3,
,F695 Bearing,20,
,GT2 20T Toothed Idler (5mm ID 6mm W),2,
,GT2 20T Toothed Idler (5mm ID 9mm W),4,
,625 Bearing,12,
,5x60mm Shaft,4,
,GT2 16T Pulley (5mm ID 6mm W),4,
,GT2 80T Pulley (5mm ID 6mm W),4,
,GT2 20T Pulley (5mm ID 9mm W),4,
,GT2 Belt Loop (6mm W) - 188mm,4,
,5x30mm Shaft,1,
,GT2 Open Belt LL-2GT-9 (9mm wide) - 1010mm,4,
,BMG Extruder Componnets Kit,1,
,Linear Rail MGN9H 350mm,8,
,GT2 Open Belt LL-2GT-6 (6mm wide) - 1800mm,2,
Electronics,NEMA17 Motor 17HS19-2004S,6,
,SPDT KW10 Limit Micro Switch,3,
,PL-08N Inductive Probe,1,
,E3D V6 Bowden Hotend Kit (24V),1,
,40x40x20 Centrifugal Fan (24V),1,
,40x40x10 Axial Fan (24V),1,
,Mini 12864 Display,1,
,Medium Blow Fuse 5 x 20mm: 4A for 220V mains or 8A for 120v,1,
,Inlet Power Socket IEC320 C14,1,
,Keystone CAT6 Insert (Optional),1,
,60x60x20 Fan (24V),3,
,SKR 1.4,2,
,TMC2209 Stepper Motor Driver,7,
,USB Cable A-male B-male,2,
,RaspberryPi 4,1,
,Mean Well LRS-200-24 PSU,1,
,Mean Well RS-25-5 PSU,1,
,Omron G3A-210B-DC5 SSR,1,
,DIN Rail Mount Bracket for G3A SSR,1,
,BAT85 Diode,1,
,C13 Power Cord,1,
,Thermal Fuse (120C),1,
,NEMA17 Motor 17HS08-1004S,1,
Vibration Management,Rubber Compressor Foot,4,
Frame,OpenBuilds Angle Corner Connector,4,
,Misumi HFSB5-2020-290,1,
,DIN 3 Rails (35mm W) - 420mm,2,
,Misumi HFSB5-2020-380,1,
,Misumi HFSB5-2020-400,2,
,Misumi HFSB5-2020-420-TPW,10,
,Misumi HFSB5-2020-480-LCP-RCP,4,
Misc,Fume Extractor Carbon Filter Element,1,
,4mm Bowden Coupler,1,
,Bowden Tube 100mm Piece (For Spool Holder),2,
,3M VHB Tape 5952,1,
,Loctite Blue Threadlocker Stick,1,
,Mobil EP2 Grease,1,
,SuperLube PTFE Grease,1,
,Single Sided Foam Tape 1mm-3mm Thcik,1,
,6x3mm Neodimium Magnet,8,
,PTFE Tube (4mm OD 3mm ID) - 1m,1,
Cables,Nylon Cable Ties 4",40,
,18AWG Wire (10ft total),1,
,20AWG High Flex Wire (10ft total),1,
,22AWG High Flex Wire (250ft total),1,
,Spade Crimp Terminal 4.8mm Female,7,
,JST XH Connector Plug 4 Position,7,
,JST XH Connector Plug 3 Position,4,
,JST XH Connector Plug 2 Position,6,
,MicroFit3 Connector Plug 4 Position,4,
,MicroFit3 Connector Plug 3 Position,1,
,MicroFit3 Connector Plug 2 Position,2,
,MicroFit3 Connector Receptacle 4 Position,4,
,MicroFit3 Connector Receptacle 3 Position,1,
,MicroFit3 Connector Receptacle 2 Position,2,
,JST XH Female Pin,52,
,MicroFit3 Female Pin,40,
,MicroFit3 Male Pin,40,
,10x10 Generic Cable Chain (355mm),2,
,10x15 Generic Cable Chain (495mm),1,
Panels,Coroplast Sheet - 420x420x4 mm,2,
,Coroplast Sheet - 434x454x4 mm,1,
,Acrylic Sheet Clear - 217x454x2.5 mm,2,
,Acrylic Sheet Clear - 434x454x2.5 mm,2,
,Acrylic Sheet Clear - 434x434x2.5 mm,1,
Buildplate,3M 468MP Adhesive Sheet - 12"x12",1,
,PEI 0.04" Sheet - 12"x12",1,
,MIC6 5/16" Plate - 12"x12",1,
,Keenovo Silicone AC Heater w/ thermistor - 250x250mm (450W),1,
